timestamp,goal_text,item_id,feedback,model_used,returned_item_ids,event_type,time_spent
2026-02-01T12:12:04.289050,Become a CBRS Certified Professional Installer by Google,google-cbrs-cpi-training,click,tfidf,"google-cbrs-cpi-training,autodesk-revit-architectural-design,autodesk-autocad-design-drafting,preparing-cloud-professional-cloud-architect-exam,professional-emails-english,google-machine-learning",click,
2026-02-01T12:36:15.515499,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",deep-neural-network,up,tfidf,"deep-neural-network,neural-networks-deep-learning,convolutional-neural-networks,convolutional-neural-networks-tensorflow,wharton-communication-skills,discrete-optimization",feedback,
2026-02-01T12:36:17.199645,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",neural-networks-deep-learning,click,tfidf,"deep-neural-network,neural-networks-deep-learning,convolutional-neural-networks,convolutional-neural-networks-tensorflow,wharton-communication-skills,discrete-optimization",click,
2026-02-01T12:36:18.770833,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",neural-networks-deep-learning,up,tfidf,"deep-neural-network,neural-networks-deep-learning,convolutional-neural-networks,convolutional-neural-networks-tensorflow,wharton-communication-skills,discrete-optimization",feedback,
2026-02-01T12:36:38.871411,Machine learning foundations,machine-learning-duke,down,tfidf,"uol-machine-learning-for-all,machine-learning,machine-learning-duke,machine-learning-with-python,ml-foundations,fundamental-machine-learning-healthcare",feedback,
2026-02-01T12:36:41.080849,Machine learning foundations,fundamental-machine-learning-healthcare,down,tfidf,"uol-machine-learning-for-all,machine-learning,machine-learning-duke,machine-learning-with-python,ml-foundations,fundamental-machine-learning-healthcare",feedback,
2026-02-01T12:36:46.855501,Machine learning foundations,machine-learning-duke,up,tfidf,"uol-machine-learning-for-all,machine-learning,machine-learning-duke,machine-learning-with-python,ml-foundations,fundamental-machine-learning-healthcare",feedback,
2026-02-01T12:36:48.918101,Machine learning foundations,uol-machine-learning-for-all,up,tfidf,"uol-machine-learning-for-all,machine-learning,machine-learning-duke,machine-learning-with-python,ml-foundations,fundamental-machine-learning-healthcare",feedback,
2026-02-01T12:36:55.390734,Front-end web development,front-end-react,up,tfidf,"front-end-react,web-development,bootstrap-4,beyond-the-sustainable-development-goals-addressing-sustainability-and-development,drug-development,game-development",feedback,
2026-02-01T12:36:57.223744,Front-end web development,web-development,up,tfidf,"front-end-react,web-development,bootstrap-4,beyond-the-sustainable-development-goals-addressing-sustainability-and-development,drug-development,game-development",feedback,
2026-02-01T12:36:59.377728,Front-end web development,drug-development,down,tfidf,"front-end-react,web-development,bootstrap-4,beyond-the-sustainable-development-goals-addressing-sustainability-and-development,drug-development,game-development",feedback,
2026-02-01T12:37:01.811386,Front-end web development,game-development,down,tfidf,"front-end-react,web-development,bootstrap-4,beyond-the-sustainable-development-goals-addressing-sustainability-and-development,drug-development,game-development",feedback,
2026-02-01T12:37:19.791920,Front-End Web UI Frameworks and Tools: Bootstrap 4,bootstrap-4,up,tfidf,"bootstrap-4,front-end-react,open-source-tools-for-data-science,web-development,ux-ui-design-de-interface,introduction-cybersecurity-cyber-attacks",feedback,
2026-02-01T12:37:21.801733,Front-End Web UI Frameworks and Tools: Bootstrap 4,front-end-react,down,tfidf,"bootstrap-4,front-end-react,open-source-tools-for-data-science,web-development,ux-ui-design-de-interface,introduction-cybersecurity-cyber-attacks",feedback,
2026-02-01T12:37:23.152424,Front-End Web UI Frameworks and Tools: Bootstrap 4,web-development,up,tfidf,"bootstrap-4,front-end-react,open-source-tools-for-data-science,web-development,ux-ui-design-de-interface,introduction-cybersecurity-cyber-attacks",feedback,
2026-02-01T12:37:25.047247,Front-End Web UI Frameworks and Tools: Bootstrap 4,introduction-cybersecurity-cyber-attacks,up,tfidf,"bootstrap-4,front-end-react,open-source-tools-for-data-science,web-development,ux-ui-design-de-interface,introduction-cybersecurity-cyber-attacks",feedback,
2026-02-01T13:25:46.455512,Organizational Analysis,organizational-analysis,up,tfidf,"organizational-analysis,organizational-behavior,data-analysis-with-python,excel-data-analysis-fundamentals,analytics-excel,excel-data-analysis",feedback,
2026-02-01T13:25:49.291634,Organizational Analysis,organizational-behavior,down,tfidf,"organizational-analysis,organizational-behavior,data-analysis-with-python,excel-data-analysis-fundamentals,analytics-excel,excel-data-analysis",feedback,
2026-02-01T13:25:51.796408,Organizational Analysis,data-analysis-with-python,up,tfidf,"organizational-analysis,organizational-behavior,data-analysis-with-python,excel-data-analysis-fundamentals,analytics-excel,excel-data-analysis",feedback,
2026-02-01T13:25:55.134801,Organizational Analysis,analytics-excel,up,tfidf,"organizational-analysis,organizational-behavior,data-analysis-with-python,excel-data-analysis-fundamentals,analytics-excel,excel-data-analysis",feedback,
2026-02-01T13:25:57.374967,Organizational Analysis,excel-data-analysis,down,tfidf,"organizational-analysis,organizational-behavior,data-analysis-with-python,excel-data-analysis-fundamentals,analytics-excel,excel-data-analysis",feedback,
2026-02-01T13:27:44.831060,Learning to Teach Online,teach-online,up,tfidf,"teach-online,teachlanguageonline,english-principles,uol-machine-learning-for-all,machine-learning,machine-learning-duke",feedback,
2026-02-01T13:27:46.444650,Learning to Teach Online,teachlanguageonline,down,tfidf,"teach-online,teachlanguageonline,english-principles,uol-machine-learning-for-all,machine-learning,machine-learning-duke",feedback,
2026-02-01T13:27:47.890649,Learning to Teach Online,english-principles,up,tfidf,"teach-online,teachlanguageonline,english-principles,uol-machine-learning-for-all,machine-learning,machine-learning-duke",feedback,
2026-02-01T13:27:49.206996,Learning to Teach Online,uol-machine-learning-for-all,up,tfidf,"teach-online,teachlanguageonline,english-principles,uol-machine-learning-for-all,machine-learning,machine-learning-duke",feedback,
2026-02-01T13:27:50.576365,Learning to Teach Online,machine-learning,up,tfidf,"teach-online,teachlanguageonline,english-principles,uol-machine-learning-for-all,machine-learning,machine-learning-duke",feedback,
2026-02-01T13:27:51.790581,Learning to Teach Online,machine-learning-duke,up,tfidf,"teach-online,teachlanguageonline,english-principles,uol-machine-learning-for-all,machine-learning,machine-learning-duke",feedback,
2026-02-01T13:32:38.081852,Principles of Sustainable Finance,sustainable-finance,up,tfidf,"sustainable-finance,finance-for-non-finance,finance-fundamentals,wharton-finance,duke-behavioral-finance,sustainable-fashion",feedback,
2026-02-01T13:32:39.434682,Principles of Sustainable Finance,finance-for-non-finance,up,tfidf,"sustainable-finance,finance-for-non-finance,finance-fundamentals,wharton-finance,duke-behavioral-finance,sustainable-fashion",feedback,
2026-02-01T13:32:40.801833,Principles of Sustainable Finance,finance-fundamentals,up,tfidf,"sustainable-finance,finance-for-non-finance,finance-fundamentals,wharton-finance,duke-behavioral-finance,sustainable-fashion",feedback,
2026-02-01T13:32:42.161969,Principles of Sustainable Finance,wharton-finance,down,tfidf,"sustainable-finance,finance-for-non-finance,finance-fundamentals,wharton-finance,duke-behavioral-finance,sustainable-fashion",feedback,
2026-02-01T13:32:43.565259,Principles of Sustainable Finance,duke-behavioral-finance,down,tfidf,"sustainable-finance,finance-for-non-finance,finance-fundamentals,wharton-finance,duke-behavioral-finance,sustainable-fashion",feedback,
2026-02-01T13:32:44.895164,Principles of Sustainable Finance,sustainable-fashion,down,tfidf,"sustainable-finance,finance-for-non-finance,finance-fundamentals,wharton-finance,duke-behavioral-finance,sustainable-fashion",feedback,
2026-02-01T13:35:03.910989,Career 911: Your Future Job in Medicine and Healthcare,healthcarejobs,up,hybrid,"healthcarejobs,what-is-social,epidemic-pandemic-outbreak,contemporary-art,dermatology,international-taxation",feedback,
2026-02-01T13:35:05.231166,Career 911: Your Future Job in Medicine and Healthcare,what-is-social,up,hybrid,"healthcarejobs,what-is-social,epidemic-pandemic-outbreak,contemporary-art,dermatology,international-taxation",feedback,
